domain_length,domain_num_of_unique_char,domain_num_of_unique_letters,domain_num_of_unique_numbers,ratio_of_letters_of_domain_name,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters,entropy,vowel_consonant_ratio,dict_ratio,domain_class
13,10,8,2,0.6153846153846154,0.3076923076923077,0.8,0.2,3.334679141051595,0.599999880000024,0.0,legit
13,8,6,2,0.6153846153846154,0.38461538461538464,0.75,0.25,2.7773627950641693,0.33333327777778704,0.0,legit
8,3,0,3,0.0,1.0,0.0,1.0,1.5,0.0,0.0,legit
10,4,0,4,0.0,1.0,0.0,1.0,1.5709505944546687,0.0,0.0,legit
9,6,4,2,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.3333333333333333,2.4193819456463714,0.24999993750001562,0.0,legit
9,6,4,2,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.3333333333333333,2.4193819456463714,0.6666664444445185,0.0,legit
9,6,4,2,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.3333333333333333,2.4193819456463714,0.6666664444445185,0.0,legit
9,6,4,2,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.3333333333333333,2.4193819456463714,0.6666664444445185,0.0,legit
18,13,11,2,0.7222222222222222,0.2222222222222222,0.8461538461538461,0.15384615384615385,3.6835423624332306,0.857142734693895,0.0,legit
11,8,6,2,0.6363636363636364,0.36363636363636365,0.75,0.25,2.8453509366224368,0.7499998125000469,0.0,legit
11,8,6,2,0.6363636363636364,0.36363636363636365,0.75,0.25,2.8453509366224368,0.7499998125000469,0.0,legit
8,5,3,2,0.5,0.5,0.6,0.4,2.1556390622295662,0.99999950000025,0.0,legit
15,11,9,2,0.7333333333333333,0.26666666666666666,0.8181818181818182,0.18181818181818182,3.323231428797621,0.3749999531250059,0.0,legit
9,7,5,2,0.5555555555555556,0.4444444444444444,0.7142857142857143,0.2857142857142857,2.6416041678685938,1.499999250000375,0.0,legit
19,11,9,2,0.7894736842105263,0.21052631578947367,0.8181818181818182,0.18181818181818182,3.326360407952694,1.14285697959186,0.0,legit
7,5,3,2,0.42857142857142855,0.5714285714285714,0.6,0.4,2.128085278891394,0.499999750000125,0.0,legit
9,7,5,2,0.5555555555555556,0.4444444444444444,0.7142857142857143,0.2857142857142857,2.6416041678685938,0.6666664444445185,0.0,legit
8,6,4,2,0.5,0.5,0.6666666666666666,0.3333333333333333,2.4056390622295662,0.33333322222225925,0.0,legit
12,10,8,2,0.6666666666666666,0.3333333333333333,0.8,0.2,3.188721875540867,0.33333327777778704,0.0,legit
8,6,4,2,0.5,0.5,0.6666666666666666,0.3333333333333333,2.4056390622295662,0.99999950000025,0.0,legit
7,5,3,2,0.42857142857142855,0.5714285714285714,0.6,0.4,2.128085278891394,0.499999750000125,0.0,legit
8,6,4,2,0.5,0.5,0.6666666666666666,0.3333333333333333,2.4056390622295662,0.99999950000025,0.0,legit
12,9,7,2,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.2222222222222222,3.0220552088742005,0.599999880000024,0.14285714285714285,legit
13,10,8,2,0.6923076923076923,0.3076923076923077,0.8,0.2,3.238901256602631,0.49999991666668053,0.0,legit
12,8,6,2,0.6666666666666666,0.3333333333333333,0.75,0.25,2.918295834054489,0.599999880000024,0.0,legit
7,5,3,2,0.42857142857142855,0.5714285714285714,0.6,0.4,2.2359263506290326,1.9999980000020001,0.0,legit
9,7,5,2,0.5555555555555556,0.4444444444444444,0.7142857142857143,0.2857142857142857,2.725480556997868,0.24999993750001562,0.0,legit
13,9,7,2,0.6923076923076923,0.3076923076923077,0.7777777777777778,0.2222222222222222,3.0850551027564768,0.49999991666668053,0.0,legit
9,6,4,2,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.3333333333333333,2.5032583347756456,0.6666664444445185,0.0,legit
12,8,6,2,0.6666666666666666,0.3333333333333333,0.75,0.25,2.8553885422075336,0.599999880000024,0.0,legit
